,Pressure_Level,Altitude (m),DJF,MAM,JJA,SON
NAMORADO 2 (PNA-2),875 HPA,130.03091712166244,6.502929834067706,5.453390102017253,5.990180269427473,6.144624580723627
PETROBRAS 26 (P-26),875 HPA,130.03091712166244,6.799948837322071,5.486954286526058,6.147546241833838,6.3480079924336215
PETROBRAS 32 (P-32),875 HPA,130.03091712166244,6.517257524096123,5.410195777155164,5.9672816515995635,6.010406981092734
PETROBRAS 37 (P-37),875 HPA,130.03091712166244,6.799948837322071,5.486954286526058,6.147546241833838,6.3480079924336215
PETROBRAS IX,875 HPA,130.03091712166244,6.277079775836962,5.400297709515886,5.876182195730833,6.062098779167099
PETROBRAS XIX,875 HPA,130.03091712166244,6.799948837322071,5.486954286526058,6.147546241833838,6.3480079924336215
PETROBRAS XXXIII,875 HPA,130.03091712166244,6.69436925482378,5.4401284081293415,6.055692260044014,6.177313079887163
VERMELHO 1 (PVM-1),875 HPA,130.03091712166244,6.517257524096123,5.410195777155164,5.9672816515995635,6.010406981092734
VERMELHO 2 (PVM-2),875 HPA,130.03091712166244,6.517257524096123,5.410195777155164,5.9672816515995635,6.010406981092734
NAMORADO 2 (PNA-2),900 HPA,105.06005600683174,7.46799886302798,5.916625115414594,6.523386630189881,7.100968343854509
PETROBRAS 26 (P-26),900 HPA,105.06005600683174,7.813520922516602,5.96317549912094,6.710107800127424,7.579610226940979
PETROBRAS 32 (P-32),900 HPA,105.06005600683174,7.570192503280039,5.886180198469832,6.5467515007456685,7.1470775345739925
PETROBRAS 37 (P-37),900 HPA,105.06005600683174,7.813520922516602,5.96317549912094,6.710107800127424,7.579610226940979
PETROBRAS IX,900 HPA,105.06005600683174,7.130667000811811,5.820067070876143,6.379994122819304,6.855567561232813
PETROBRAS XIX,900 HPA,105.06005600683174,7.813520922516602,5.96317549912094,6.710107800127424,7.579610226940979
PETROBRAS XXXIII,900 HPA,105.06005600683174,7.745972239615869,5.911579726631499,6.65844495308292,7.426943408945308
VERMELHO 1 (PVM-1),900 HPA,105.06005600683174,7.570192503280039,5.886180198469832,6.5467515007456685,7.1470775345739925
VERMELHO 2 (PVM-2),900 HPA,105.06005600683174,7.570192503280039,5.886180198469832,6.5467515007456685,7.1470775345739925
NAMORADO 2 (PNA-2),925 HPA,80.7734148792206,8.548196948024177,6.446404476984142,7.234701313840879,8.670871666483562
PETROBRAS 26 (P-26),925 HPA,80.7734148792206,8.856667013909673,6.503725807222501,7.488357188940301,9.236414420764456
PETROBRAS 32 (P-32),925 HPA,80.7734148792206,8.736114536691446,6.428633411593935,7.331875219517956,8.884710141567725
PETROBRAS 37 (P-37),925 HPA,80.7734148792206,8.856667013909673,6.503725807222501,7.488357188940301,9.236414420764456
PETROBRAS IX,925 HPA,80.7734148792206,8.195782383135615,6.370994580744835,7.073843061921681,8.265283746342728
PETROBRAS XIX,925 HPA,80.7734148792206,8.856667013909673,6.503725807222501,7.488357188940301,9.236414420764456
PETROBRAS XXXIII,925 HPA,80.7734148792206,8.804233415476938,6.4421740024582705,7.4289848682463,9.112682834243941
VERMELHO 1 (PVM-1),925 HPA,80.7734148792206,8.736114536691446,6.428633411593935,7.331875219517956,8.884710141567725
VERMELHO 2 (PVM-2),925 HPA,80.7734148792206,8.736114536691446,6.428633411593935,7.331875219517956,8.884710141567725
NAMORADO 2 (PNA-2),950 HPA,57.134495336463615,9.601544451104951,6.835342663384837,8.041097869472537,10.344048320253036
PETROBRAS 26 (P-26),950 HPA,57.134495336463615,9.710287070291878,6.857142763956414,8.28749165531006,10.649795149056256
PETROBRAS 32 (P-32),950 HPA,57.134495336463615,9.769327716562346,6.792824789165799,8.16318759498946,10.552544268110692
PETROBRAS 37 (P-37),950 HPA,57.134495336463615,9.710287070291878,6.857142763956414,8.28749165531006,10.649795149056256
PETROBRAS IX,950 HPA,57.134495336463615,9.294057097565966,6.780981224798848,7.843259801644011,9.898116412595822
PETROBRAS XIX,950 HPA,57.134495336463615,9.710287070291878,6.857142763956414,8.28749165531006,10.649795149056256
PETROBRAS XXXIII,950 HPA,57.134495336463615,9.689304678388346,6.788917831345849,8.238960728498805,10.586476088325057
VERMELHO 1 (PVM-1),950 HPA,57.134495336463615,9.769327716562346,6.792824789165799,8.16318759498946,10.552544268110692
VERMELHO 2 (PVM-2),950 HPA,57.134495336463615,9.769327716562346,6.792824789165799,8.16318759498946,10.552544268110692
NAMORADO 2 (PNA-2),975 HPA,34.10964367377638,9.95045097479133,6.8865368627450705,8.533169806508022,11.133940898121233
PETROBRAS 26 (P-26),975 HPA,34.10964367377638,9.620161591075961,6.8114947919411915,8.609517132900194,10.933598527411448
PETROBRAS 32 (P-32),975 HPA,34.10964367377638,10.03262833161869,6.831916234719836,8.644569312559062,11.175437481067847
PETROBRAS 37 (P-37),975 HPA,34.10964367377638,9.620161591075961,6.8114947919411915,8.609517132900194,10.933598527411448
PETROBRAS IX,975 HPA,34.10964367377638,9.916654853045165,6.894263334403648,8.435220659750469,11.005264251153022
PETROBRAS XIX,975 HPA,34.10964367377638,9.620161591075961,6.8114947919411915,8.609517132900194,10.933598527411448
PETROBRAS XXXIII,975 HPA,34.10964367377638,9.708159566199695,6.7797821652744075,8.620629452428572,10.951964772825118
VERMELHO 1 (PVM-1),975 HPA,34.10964367377638,10.03262833161869,6.831916234719836,8.644569312559062,11.175437481067847
VERMELHO 2 (PVM-2),975 HPA,34.10964367377638,10.03262833161869,6.831916234719836,8.644569312559062,11.175437481067847
